U14INT,U18,TOFA1INT,D60,M35,EDA,H2PO4,HMDA,Polyetheramine,Piperazine,Azelaic Acid,Sebacic Acid,Dimer Acid,Sales Vol,Sales Vol,CM Rate ($/hr),Product Family,Product
0.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.2,0.1,0.0,0.0,278.2,278.2,1028.654136372531,HM,"HM 1580, Bag 40 LB"
0.3,0.3,0.0,0.0,0,0.0,0.0,0.0,0.22,0.1,0.0,0.067,0.0,474.4,474.4,1216.7487382800339,HM,"UNI-REZ 2633, Bag 50 LB"
0.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.19,0.364,58.0,58.0,2021.6118067141983,HM,"UNI-REZ 2641, Bag 50 LB"
0.9,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.066,0.0,26.0,26.0,992.7608845192743,HM,"UNI-REZ 2665, Bag 50 LB"
0.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.17,0.0,0.0,281.2,281.2,1156.4580916773823,HM,"UNI-REZ 2291, Bag 50 LB"
0.7,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,204.8,204.8,1531.369952156594,HM,"UNI-REZ 2671, Bag 50 LB"
0.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1822698553388032,0.0,0.0,0.02,0.0,294.8,294.8,1212.270011128132,HM,"UNI-REZ 2632, Bag 50 LB"
0.7,0.0,0.0,0.015611142694712905,0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.066,69.2,69.2,1436.922197517974,HM,"UNI-REZ 2653, Bag 50 LB"
0.6,0.0,0.0,0.019266666666666668,0,0.1,0.0,0.0,0.19,0.0,0.021,0.0,0.18,47.5,47.5,1838.6803810348213,HM,"UNI-REZ 2656, Bag 50 LB"
0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6,52.6,1525.8712284085552,HM,"UNI-REZ 2624, Bag 50 LB"
0.0,0.7,0.0,0.0,0,0.1,0.0,0.0,0.15633583386615993,0.0,0.0,0.0,0.0,393.4,393.4,832.9872892775537,HM,"UNI-REZ 2651, Bag 50 LB"
0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,180.9,180.9,815.9501451777109,HM,"UNI-REZ 2626, Bag 50 LB"
0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.17624746946675268,0.1,0.129,0.0,0.0,346.9,346.9,1508.432782048151,HM,"UNI-REZ 2638, Bag 50 LB"
0.0,0.6,0.0,0.0,0,0.0,0.0,0.0,0.18580142265410632,0.1,0.0,0.099,0.0,759.9,759.9,883.9850094764257,HM,"HL 6612, Bag 40 LB"
0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6,69.6,1094.434613223817,HM,"HL 6608, Box 1350 LB"
0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,23.7,2604.624866603337,HM,"UNI-REZ 2294, Bag 50 LB"
0.0,0.6,0.0,0.0,0,0.0,0.0,0.0,0.2,0.1,0.0,0.122,0.0,613.1,613.1,1146.3055194981384,HM,"UNI-REZ 2635, Bag 50 LB"
0.0,0.8,0.1,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1,43.1,1317.5468148759169,HM,"UNI-REZ 2720, Bag 50 LB"
0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.6,154.6,568.8176495188358,HM,"UNI-REZ 2721, Bag 50 LB"
0.0,0.7,0.1,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.8656235458716,HM,"UNI-REZ 2620, Bag 50 LB"
0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,966.1958991258311,HM,"UNI-REZ 2727, BB 1102 LB"
0.0,0.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,31.1,2529.3151461421544,HM,"UNI-REZ 2678, Bag 50LB"
0.6,0.0,0.0,0.019266666666666668,0,0.1,0.0,0.0,0.19,0.0,0.15,0.0,0.18,1307.1,1307.1,977.6203771330977,HM,"UNI-REZ 2656, Box 1350 LB"
0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.4,635.4,1537.259365066961,INK,"UNI-REZ 110, Bag 50 LB"
